,precision,recall,f1-score,support
0,0.38085539714867617,0.41219691403379866,0.3959068454481299,1361.0
1,0.9285714285714286,0.10331125827814569,0.18593563766388557,1510.0
2,0.27906976744186046,0.24125093075204765,0.25878594249201275,1343.0
3,0.6857142857142857,0.034383954154727794,0.06548431105047749,1396.0
4,0.3871277617675312,0.30461073318216175,0.3409475465313029,1323.0
5,0.37678207739307534,0.15264026402640263,0.2172636523781562,1212.0
6,0.34462729912875123,0.2751159196290572,0.30597335625268585,1294.0
7,0.5148005148005148,0.2801120448179272,0.36281179138321995,1428.0
8,0.1557298115284083,0.8323529411764706,0.2623710742843898,1360.0
9,0.7058823529411765,0.0447427293064877,0.08415147265077139,1341.0
accuracy,0.26717275943396224,0.26717275943396224,0.26717275943396224,0.26717275943396224
macro avg,0.47591606964357086,0.2680717689357227,0.24796316301350316,13568.0
weighted avg,0.48355162433616683,0.26717275943396224,0.24739470417169213,13568.0
